Transaction ID,Fixture type,Model,Model #,S/N,image,Real S/N,,,
01AAACIY,Google Voice Remote,G9N9N,GA01409,28081HFAK8H17W,,28081HFAK8H17W,,,
01AAACIX,Google Chromecast,GZRNL,GA01433,28181HFGN262PG,,28181HFGN262PG,,,
01AAACIW,Google Voice Remote,G9N9N,GA01409,22211HFAK66FUI,,22211HFAK66FUI,,,
01AAACIV,Google Chromecast,GZRNL,GA01433,26131HFGN0UJ8D,,26131HFGN0UJ8D,,,
01AAACIU,Google Voice Remote,G9N9N,GA01409,28011HFAK8CW58,,28011HFAK8CW58,,,
01AAACIT,Google Chromecast,GZRNL,GA01433,28111HFGN22UR3,,28111HFGN22UR3,,,
01AAACIS,Google Voice Remote,G9N9N,GA01409,28151HFAK8L7PW,,28151HFAK8L7PW,,,
01AAACIR,Google Chromecast,GZRNL,GA01433,28241HFGN295XM,,28241HFGN295XM,,,
01AAACIQ,Google Voice Remote,G9N9N,GA01409,28041HFAK8EFC4,,28041HFAK8EFC4,,,
01AAACIP,Google Chromecast,GZRNL,GA01433,28121HFGN23E8G,,28121HFGN23E8G,,,
01AAACIO,Google Voice Remote,G9N9N,GA01409,2C021QUH1C0453,,2C021QUH1C0453,,,
01AAACIN,Google Chromecast,GZRNL,GA01433,2C261HFGN5255G,,2C261HFGN5255G,,,
01AAACIM,Google Voice Remote,G9N9N,GA01409,28021HFAK8DIRO,,28021HFAK8DIRO,,,
01AAACIL,Google Chromecast,GZRNL,GA01433,28111HFGN2384M,,28111HFGN2384M,,,
01AAACIK,Google Voice Remote,G9N9N,GA01409,27141HFAK82KIM,,27141HFAK82KIM,,,
01AAACIJ,Google Chromecast,GZRNL,GA01433,27221HFGN1STRG,,27221HFGN1STRG,,,
01AAACII,Google Voice Remote,G9N9N,GA01409,26071QUH100017,,26071QUH100017,,,
01AAACIH,Google Chromecast,GZRNL,GA01433,2A031HFGN36J1J,,2A031HFGN36J1J,,,
01AAACIG,Google Voice Remote,G9N9N,GA01409,1C171HFAK5I0SV,,1C171HFAK5I0SV,,,
01AAACIF,Google Chromecast,GZRNL,GA01433,2A171HFGN3CLUJ,,2A171HFGN3CLUJ,,,
01AAACIE,Google Voice Remote,G9N9N,GA01409,28101HFAK8JQ7O,,28101HFAK8JQ7O,,,
01AAACID,Google Chromecast,GZRNL,GA01433,28191HFGN26RMT,,28191HFGN26RMT,,,
01AAACIC,Google Voice Remote,G9N9N,GA01409,28021HFAK8DM6X,,28021HFAK8DM6X,,,
01AAACIB,Google Chromecast,GZRNL,GA01433,28111HFGN235XZ,,28111HFGN235XZ,,,
01AAACIA,Google Voice Remote,G9N9N,GA01409,28311HFAK8VEBM,,28311HFAK8VEBM,,,
01AAACH9,Google Chromecast,GZRNL,GA01433,29061HFGN2FW61,,29061HFGN2FW61,,,
01AAACH8,Google Voice Remote,G9N9N,GA01409,28291QUH12038W,,28291QUH12038W,,,
01AAACH7,Google Chromecast,GZRNL,GA01433,2A031HFGN36LHS,,2A031HFGN36LHS,,,
